,addr,type,token_vol_sum,token_vol_count,block_time,BSC,Gnosis,Optimism,Arbitrum
10,0x0e77fe049f400a5c2d7598fa133d1d636065b6ed,ether,0.00466,4,"['2022-08-05T00:47:48Z', '2022-08-05T08:44:59Z', '2022-08-06T09:52:35Z', '2022-08-28T17:34:53Z']",0,0,0,0
11,0x0ff3854632becaf8afa10ba18c775b55be3d54b4,ether,0.00591,4,"['2022-08-05T00:58:58Z', '2022-08-05T08:44:59Z', '2022-08-06T10:02:57Z', '2022-08-29T01:59:37Z']",0,0,0,0
12,0x104a86bffc3e7ffb961eb914b0576bb5fb49212f,ether,0.00517,4,"['2022-08-05T00:35:24Z', '2022-08-05T06:22:43Z', '2022-08-06T09:42:05Z', '2022-08-28T17:34:53Z']",0,0,0,0
13,0x11b82db7f59727b77ba0136ae69bdbe7e095c9fa,ether,0.00577,4,"['2022-08-05T00:55:30Z', '2022-08-05T06:44:15Z', '2022-08-06T10:04:43Z', '2022-08-28T17:34:53Z']",0,0,0,0
14,0x15b56c1af9918e5ec3ad0bc8bdd8a2e55b80a431,ether,0.00563,4,"['2022-08-05T00:43:43Z', '2022-08-05T06:44:15Z', '2022-08-06T09:49:26Z', '2022-08-28T17:34:54Z']",0,0,0,0
15,0x1640084ad0e3b2697d6edc3d42d30e8078515919,ether,0.00507,4,"['2022-08-05T00:37:26Z', '2022-08-05T06:44:15Z', '2022-08-06T09:45:20Z', '2022-08-29T01:59:37Z']",0,0,0,0
16,0x170984c99c187b86d136a21ff989de075a9c28e8,ether,0.00519,4,"['2022-08-05T00:42:19Z', '2022-08-05T06:48:19Z', '2022-08-06T09:47:39Z', '2022-08-28T17:34:53Z']",0,0,0,0
17,0x172e55241869c004d73f86d7e87415822bd9a828,ether,0.0064,4,"['2022-08-05T00:38:38Z', '2022-08-05T06:48:19Z', '2022-08-06T09:44:32Z', '2022-08-28T17:34:54Z']",0,0,0,0
18,0x1aba02ecf2f2060b02653099a2ab9b5750ec591b,ether,0.00565,4,"['2022-08-05T00:59:42Z', '2022-08-05T07:37:06Z', '2022-08-06T10:03:55Z', '2022-08-28T17:34:53Z']",0,0,0,0
19,0x1b8e8790467d4f994d5ec519c73ba95d2af06279,ether,0.00592,4,"['2022-08-05T00:49:30Z', '2022-08-05T08:46:11Z', '2022-08-06T09:54:25Z', '2022-08-28T17:34:53Z']",0,0,0,0
20,0x1de23647fb17fed6cfe2bbcef365a1fddf2e8e43,ether,0.00551,4,"['2022-08-05T00:34:55Z', '2022-08-05T06:35:34Z', '2022-08-06T09:45:20Z', '2022-08-28T17:34:53Z']",0,0,0,0
21,0x230006ed9586eaf550d74b8120018b9d117c62cd,ether,0.00465,4,"['2022-08-05T00:41:44Z', '2022-08-05T06:22:43Z', '2022-08-06T09:47:00Z', '2022-08-28T21:15:20Z']",0,0,0,0
22,0x231c0cebb9969aa2a5114655c3746afcdb72688e,ether,0.00475,4,"['2022-08-05T00:33:09Z', '2022-08-05T06:22:43Z', '2022-08-06T09:38:07Z', '2022-08-29T01:59:52Z']",0,0,0,0
23,0x23d454d30caa725041f2b5fe36285e76e3361e27,ether,0.00644,4,"['2022-08-05T00:40:52Z', '2022-08-05T08:44:05Z', '2022-08-06T09:45:22Z', '2022-08-28T17:34:54Z']",0,0,0,0
24,0x26cf3ba8971478a88c123372475d9423260bcb0b,ether,0.00579,4,"['2022-08-05T00:28:36Z', '2022-08-05T06:22:43Z', '2022-08-06T09:39:06Z', '2022-08-29T01:59:37Z']",0,0,0,0
25,0x291df36ecedf9b804729ff760e261dea3854bfb7,ether,0.00595,4,"['2022-08-05T00:56:51Z', '2022-08-05T06:35:34Z', '2022-08-06T10:02:57Z', '2022-08-29T01:59:37Z']",0,0,0,0
26,0x29ca4086ff0a8ba7a1af96053f29cb660deea5e5,ether,0.00637,4,"['2022-08-05T01:01:21Z', '2022-08-05T06:35:34Z', '2022-08-06T10:06:31Z', '2022-08-28T17:34:53Z']",0,0,0,0
27,0x2c4e2ea67941ba82d99d0769c45edeef46b00356,ether,0.00593,4,"['2022-08-05T00:54:50Z', '2022-08-05T08:44:59Z', '2022-08-06T09:59:04Z', '2022-08-28T17:34:53Z']",0,0,0,0
28,0x2dea964e4f37d3cd6a36a390ffd74a49d304eb82,ether,0.00622,4,"['2022-08-05T00:56:01Z', '2022-08-05T06:46:37Z', '2022-08-06T10:10:06Z', '2022-08-29T01:59:37Z']",0,0,0,0
29,0x2defd07615810e5726c7272ba4361e89fe666fd2,ether,0.00548,4,"['2022-08-05T00:53:01Z', '2022-08-05T08:44:59Z', '2022-08-06T09:58:41Z', '2022-08-28T17:35:06Z']",0,0,0,0
30,0x2f2ba7d20c439ecc3859aced29d0b3c1e1dca993,ether,0.00591,4,"['2022-08-05T00:58:10Z', '2022-08-05T08:44:59Z', '2022-08-06T10:02:57Z', '2022-08-28T21:15:20Z']",0,0,0,0
31,0x2f6049f03eb16a49d3c6391801338fcefacbcdc1,ether,0.00473,4,"['2022-08-05T00:56:51Z', '2022-08-05T08:42:48Z', '2022-08-06T10:02:57Z', '2022-08-28T17:34:53Z']",0,0,0,0
