,addr,type,total_volumn,ETH,froms,block_time,BSC,Gnosis,Optimism,Arbitrum
557,0xd4c46187fa7395a7a3718551a729d08a34b5b7b2,ether,2.2e-06,24,2,"['2022-07-02T06:17:40Z', '2022-07-02T06:17:40Z', '2022-07-02T06:58:32Z', '2022-07-02T06:58:32Z', '2022-07-02T07:53:15Z', '2022-07-02T07:53:15Z', '2022-07-02T07:59:07Z', '2022-07-02T07:59:07Z', '2022-07-02T09:03:14Z', '2022-07-02T09:03:14Z', '2022-07-02T09:08:59Z', '2022-07-02T09:08:59Z', '2022-07-02T09:12:06Z', '2022-07-02T09:12:06Z', '2022-07-02T09:20:43Z', '2022-07-02T09:20:43Z', '2022-07-02T09:23:28Z', '2022-07-02T09:23:28Z', '2022-07-02T09:32:13Z', '2022-07-02T09:32:46Z', '2022-07-02T09:36:13Z', '2022-07-02T09:36:13Z', '2022-07-02T10:19:30Z', '2022-07-02T10:19:30Z']",0,0,0,0
456,0xb1652742487b3ee4481b513b76ebf88fa86da522,ether,2.2e-06,24,2,"['2022-07-02T06:17:40Z', '2022-07-02T06:17:40Z', '2022-07-02T06:58:32Z', '2022-07-02T06:58:32Z', '2022-07-02T07:53:15Z', '2022-07-02T07:53:15Z', '2022-07-02T07:59:07Z', '2022-07-02T07:59:07Z', '2022-07-02T09:03:14Z', '2022-07-02T09:03:14Z', '2022-07-02T09:08:59Z', '2022-07-02T09:08:59Z', '2022-07-02T09:12:06Z', '2022-07-02T09:12:06Z', '2022-07-02T09:20:43Z', '2022-07-02T09:20:43Z', '2022-07-02T09:23:28Z', '2022-07-02T09:23:28Z', '2022-07-02T09:32:46Z', '2022-07-02T09:32:46Z', '2022-07-02T09:36:13Z', '2022-07-02T09:36:13Z', '2022-07-02T10:19:30Z', '2022-07-02T10:19:30Z']",0,0,0,0
493,0xbf908c5e912db50fd340e7e484575f1bcf0187bc,ether,2.2e-06,24,2,"['2022-07-02T06:17:40Z', '2022-07-02T06:17:40Z', '2022-07-02T06:58:32Z', '2022-07-02T06:58:32Z', '2022-07-02T07:53:15Z', '2022-07-02T07:53:15Z', '2022-07-02T07:59:07Z', '2022-07-02T07:59:07Z', '2022-07-02T09:03:14Z', '2022-07-02T09:03:14Z', '2022-07-02T09:08:59Z', '2022-07-02T09:08:59Z', '2022-07-02T09:12:06Z', '2022-07-02T09:12:06Z', '2022-07-02T09:20:43Z', '2022-07-02T09:20:43Z', '2022-07-02T09:23:28Z', '2022-07-02T09:23:28Z', '2022-07-02T09:32:46Z', '2022-07-02T09:32:46Z', '2022-07-02T09:36:13Z', '2022-07-02T09:36:13Z', '2022-07-02T10:19:30Z', '2022-07-02T10:19:30Z']",0,0,0,0
503,0xc1d3d4932e738d97b8d8cb5d09cd43fd75367945,ether,2.2e-06,24,2,"['2022-07-02T06:17:40Z', '2022-07-02T06:17:40Z', '2022-07-02T06:58:32Z', '2022-07-02T06:58:32Z', '2022-07-02T07:53:15Z', '2022-07-02T07:53:15Z', '2022-07-02T07:59:07Z', '2022-07-02T07:59:07Z', '2022-07-02T09:03:14Z', '2022-07-02T09:03:14Z', '2022-07-02T09:08:59Z', '2022-07-02T09:08:59Z', '2022-07-02T09:12:06Z', '2022-07-02T09:12:06Z', '2022-07-02T09:20:43Z', '2022-07-02T09:20:43Z', '2022-07-02T09:23:28Z', '2022-07-02T09:23:28Z', '2022-07-02T09:32:46Z', '2022-07-02T09:32:46Z', '2022-07-02T09:36:13Z', '2022-07-02T09:36:13Z', '2022-07-02T10:19:30Z', '2022-07-02T10:19:30Z']",0,0,0,0
547,0xd1c7b4f6cf5b2af7c06ba92226d3868f3ecf1332,ether,2.2e-06,24,2,"['2022-07-02T06:17:40Z', '2022-07-02T06:17:40Z', '2022-07-02T06:58:32Z', '2022-07-02T06:58:32Z', '2022-07-02T07:53:15Z', '2022-07-02T07:53:15Z', '2022-07-02T07:59:07Z', '2022-07-02T07:59:07Z', '2022-07-02T09:03:14Z', '2022-07-02T09:03:14Z', '2022-07-02T09:08:59Z', '2022-07-02T09:08:59Z', '2022-07-02T09:12:06Z', '2022-07-02T09:12:06Z', '2022-07-02T09:20:43Z', '2022-07-02T09:20:43Z', '2022-07-02T09:23:28Z', '2022-07-02T09:23:28Z', '2022-07-02T09:32:46Z', '2022-07-02T09:32:46Z', '2022-07-02T09:36:13Z', '2022-07-02T09:36:13Z', '2022-07-02T10:19:30Z', '2022-07-02T10:19:30Z']",0,0,0,0
332,0x82e38fa50d81774aaff1f21fae52a857125d6445,ether,2.2e-06,24,2,"['2022-07-02T06:17:40Z', '2022-07-02T06:17:40Z', '2022-07-02T06:58:32Z', '2022-07-02T06:58:32Z', '2022-07-02T07:53:15Z', '2022-07-02T07:53:15Z', '2022-07-02T07:59:07Z', '2022-07-02T07:59:07Z', '2022-07-02T09:03:14Z', '2022-07-02T09:03:14Z', '2022-07-02T09:08:59Z', '2022-07-02T09:08:59Z', '2022-07-02T09:12:06Z', '2022-07-02T09:12:06Z', '2022-07-02T09:20:43Z', '2022-07-02T09:20:43Z', '2022-07-02T09:23:28Z', '2022-07-02T09:23:28Z', '2022-07-02T09:32:46Z', '2022-07-02T09:32:46Z', '2022-07-02T09:36:13Z', '2022-07-02T09:36:13Z', '2022-07-02T10:19:30Z', '2022-07-02T10:19:30Z']",0,0,0,0
52,0x1428a0328f05952a4376b85c60a07892a76dea9d,ether,2.2e-06,24,2,"['2022-07-02T06:17:40Z', '2022-07-02T06:17:40Z', '2022-07-02T06:58:32Z', '2022-07-02T06:58:32Z', '2022-07-02T07:53:15Z', '2022-07-02T07:53:15Z', '2022-07-02T07:59:07Z', '2022-07-02T07:59:07Z', '2022-07-02T09:03:14Z', '2022-07-02T09:03:14Z', '2022-07-02T09:08:59Z', '2022-07-02T09:08:59Z', '2022-07-02T09:12:06Z', '2022-07-02T09:12:06Z', '2022-07-02T09:20:43Z', '2022-07-02T09:20:43Z', '2022-07-02T09:23:28Z', '2022-07-02T09:23:28Z', '2022-07-02T09:32:46Z', '2022-07-02T09:32:46Z', '2022-07-02T09:36:13Z', '2022-07-02T09:36:13Z', '2022-07-02T10:19:30Z', '2022-07-02T10:19:30Z']",0,0,0,0
463,0xb307cd09233b5fa2ef2c591e4253c26af05294e1,ether,2.2e-06,24,2,"['2022-07-02T06:17:40Z', '2022-07-02T06:17:40Z', '2022-07-02T06:58:32Z', '2022-07-02T06:58:32Z', '2022-07-02T07:53:15Z', '2022-07-02T07:53:15Z', '2022-07-02T07:59:07Z', '2022-07-02T07:59:34Z', '2022-07-02T09:03:14Z', '2022-07-02T09:03:14Z', '2022-07-02T09:08:59Z', '2022-07-02T09:08:59Z', '2022-07-02T09:12:06Z', '2022-07-02T09:12:06Z', '2022-07-02T09:20:43Z', '2022-07-02T09:20:43Z', '2022-07-02T09:23:28Z', '2022-07-02T09:23:28Z', '2022-07-02T09:32:46Z', '2022-07-02T09:32:46Z', '2022-07-02T09:36:13Z', '2022-07-02T09:36:13Z', '2022-07-02T10:19:30Z', '2022-07-02T10:19:30Z']",0,0,0,0
582,0xdf9cadb014f252e48d059a485da745a041fcaf20,ether,2.2e-06,24,2,"['2022-07-02T06:17:40Z', '2022-07-02T06:17:40Z', '2022-07-02T06:58:32Z', '2022-07-02T06:58:32Z', '2022-07-02T07:53:15Z', '2022-07-02T07:53:15Z', '2022-07-02T07:59:07Z', '2022-07-02T07:59:34Z', '2022-07-02T09:03:14Z', '2022-07-02T09:03:14Z', '2022-07-02T09:08:59Z', '2022-07-02T09:08:59Z', '2022-07-02T09:12:06Z', '2022-07-02T09:12:06Z', '2022-07-02T09:20:43Z', '2022-07-02T09:20:43Z', '2022-07-02T09:23:28Z', '2022-07-02T09:23:28Z', '2022-07-02T09:32:46Z', '2022-07-02T09:32:46Z', '2022-07-02T09:36:13Z', '2022-07-02T09:36:13Z', '2022-07-02T10:19:30Z', '2022-07-02T10:19:30Z']",0,0,0,0
420,0xa330b6910a7c15c22429adeb3f61bd4591d0e4e1,ether,2.2e-06,24,2,"['2022-07-02T06:17:40Z', '2022-07-02T06:17:48Z', '2022-07-02T06:58:32Z', '2022-07-02T06:58:32Z', '2022-07-02T07:53:15Z', '2022-07-02T07:53:15Z', '2022-07-02T07:59:07Z', '2022-07-02T07:59:07Z', '2022-07-02T09:03:14Z', '2022-07-02T09:03:14Z', '2022-07-02T09:08:59Z', '2022-07-02T09:08:59Z', '2022-07-02T09:12:06Z', '2022-07-02T09:12:06Z', '2022-07-02T09:20:43Z', '2022-07-02T09:20:43Z', '2022-07-02T09:23:28Z', '2022-07-02T09:23:28Z', '2022-07-02T09:32:46Z', '2022-07-02T09:32:46Z', '2022-07-02T09:36:13Z', '2022-07-02T09:36:13Z', '2022-07-02T10:19:30Z', '2022-07-02T10:19:30Z']",0,0,0,0
