,addr,type,total_volumn,ETH,froms,block_time,BSC,Gnosis,Optimism,Arbitrum
395,0x9b921878ad39abe699eb09763712a4e1a34999a4,ether,1.1e-06,11,1,"['2022-07-02T06:17:40Z', '2022-07-02T06:58:32Z', '2022-07-02T07:37:48Z', '2022-07-02T07:53:15Z', '2022-07-02T07:59:07Z', '2022-07-02T09:03:14Z', '2022-07-02T09:08:59Z', '2022-07-02T09:12:05Z', '2022-07-02T09:19:48Z', '2022-07-02T09:23:28Z', '2022-07-02T09:32:13Z']",0,0,0,0
432,0xa91a7d850bf0a254f37450cf8b6697a387a50672,ether,1.1e-06,11,1,"['2022-07-02T06:17:40Z', '2022-07-02T06:58:32Z', '2022-07-02T07:53:15Z', '2022-07-02T07:59:07Z', '2022-07-02T09:03:14Z', '2022-07-02T09:08:59Z', '2022-07-02T09:12:05Z', '2022-07-02T09:19:48Z', '2022-07-02T09:23:28Z', '2022-07-02T09:32:13Z', '2022-07-02T09:36:13Z']",0,0,0,0
54,0x1562b16721899dd014caa35728236eb6f14d6c85,ether,1.1e-06,11,1,"['2022-07-02T06:17:40Z', '2022-07-02T06:58:32Z', '2022-07-02T07:53:15Z', '2022-07-02T07:59:07Z', '2022-07-02T09:03:14Z', '2022-07-02T09:08:59Z', '2022-07-02T09:12:05Z', '2022-07-02T09:19:48Z', '2022-07-02T09:23:28Z', '2022-07-02T09:32:13Z', '2022-07-02T09:36:13Z']",0,0,0,0
40,0x0edd36820fcde82edf3f294fc0976138107e540a,ether,1.1e-06,11,1,"['2022-07-02T06:17:40Z', '2022-07-02T06:58:32Z', '2022-07-02T07:53:15Z', '2022-07-02T07:59:07Z', '2022-07-02T09:03:14Z', '2022-07-02T09:08:59Z', '2022-07-02T09:12:05Z', '2022-07-02T09:19:48Z', '2022-07-02T09:23:28Z', '2022-07-02T09:32:13Z', '2022-07-02T09:36:13Z']",0,0,0,0
84,0x22d6c7bff472445baad2c8c2ee448fdbad230ce2,ether,1.1e-06,11,1,"['2022-07-02T06:17:40Z', '2022-07-02T06:58:32Z', '2022-07-02T07:53:15Z', '2022-07-02T07:59:07Z', '2022-07-02T09:03:14Z', '2022-07-02T09:08:59Z', '2022-07-02T09:12:05Z', '2022-07-02T09:19:48Z', '2022-07-02T09:23:28Z', '2022-07-02T09:32:13Z', '2022-07-02T09:36:13Z']",0,0,0,0
260,0x69c80e38804ad1d65366b4978868716ae78151b8,ether,1.1e-06,11,1,"['2022-07-02T06:17:40Z', '2022-07-02T06:58:32Z', '2022-07-02T07:53:15Z', '2022-07-02T07:59:07Z', '2022-07-02T09:03:14Z', '2022-07-02T09:08:59Z', '2022-07-02T09:12:06Z', '2022-07-02T09:19:48Z', '2022-07-02T09:23:28Z', '2022-07-02T09:32:13Z', '2022-07-02T09:36:13Z']",0,0,0,0
396,0x9b98b5c4e49bbb1d6ac1dedfc82a20116673b8f4,ether,1.1e-06,11,1,"['2022-07-02T06:17:40Z', '2022-07-02T06:58:32Z', '2022-07-02T07:53:15Z', '2022-07-02T07:59:07Z', '2022-07-02T09:03:14Z', '2022-07-02T09:08:59Z', '2022-07-02T09:12:06Z', '2022-07-02T09:20:43Z', '2022-07-02T09:23:28Z', '2022-07-02T09:32:13Z', '2022-07-02T09:36:13Z']",0,0,0,0
280,0x728390e6fe9ab21381c612c0dde4dfa4e74d26c8,ether,1.1e-06,11,1,"['2022-07-02T06:17:40Z', '2022-07-02T06:58:32Z', '2022-07-02T07:53:15Z', '2022-07-02T07:59:07Z', '2022-07-02T09:03:14Z', '2022-07-02T09:08:59Z', '2022-07-02T09:12:06Z', '2022-07-02T09:20:43Z', '2022-07-02T09:23:28Z', '2022-07-02T09:32:13Z', '2022-07-02T09:36:13Z']",0,0,0,0
368,0x92c3c00faa037c40e3603a6fa5fef5d61f64d3e8,ether,1.1e-06,11,1,"['2022-07-02T06:17:40Z', '2022-07-02T06:58:32Z', '2022-07-02T07:53:15Z', '2022-07-02T07:59:07Z', '2022-07-02T09:03:14Z', '2022-07-02T09:08:59Z', '2022-07-02T09:12:06Z', '2022-07-02T09:20:43Z', '2022-07-02T09:23:28Z', '2022-07-02T09:32:13Z', '2022-07-02T09:36:13Z']",0,0,0,0
183,0x4c30fbd1d71738eade0d5165efa298899afe2875,ether,1.1e-06,11,1,"['2022-07-02T06:17:40Z', '2022-07-02T06:58:32Z', '2022-07-02T07:53:15Z', '2022-07-02T07:59:07Z', '2022-07-02T09:03:14Z', '2022-07-02T09:08:59Z', '2022-07-02T09:12:06Z', '2022-07-02T09:20:43Z', '2022-07-02T09:23:28Z', '2022-07-02T09:32:13Z', '2022-07-02T09:36:13Z']",0,0,0,0
162,0x452d7cb0fe42d6fe579aab917bf7b174f73ac5cc,ether,1.1e-06,11,1,"['2022-07-02T06:17:40Z', '2022-07-02T06:58:32Z', '2022-07-02T07:53:15Z', '2022-07-02T07:59:07Z', '2022-07-02T09:03:14Z', '2022-07-02T09:08:59Z', '2022-07-02T09:12:06Z', '2022-07-02T09:20:43Z', '2022-07-02T09:23:28Z', '2022-07-02T09:32:13Z', '2022-07-02T09:36:13Z']",0,0,0,0
627,0xf1fe83e56ef8340219ca4480b317d1094128199a,ether,1.1e-06,11,1,"['2022-07-02T06:17:40Z', '2022-07-02T06:58:32Z', '2022-07-02T07:53:15Z', '2022-07-02T07:59:07Z', '2022-07-02T09:03:14Z', '2022-07-02T09:08:59Z', '2022-07-02T09:12:06Z', '2022-07-02T09:20:43Z', '2022-07-02T09:23:28Z', '2022-07-02T09:32:13Z', '2022-07-02T09:36:13Z']",0,0,0,0
269,0x6f3f0a60cdf16682d30709918e6f94934adbc639,ether,1.1e-06,11,1,"['2022-07-02T06:17:40Z', '2022-07-02T06:58:32Z', '2022-07-02T07:53:15Z', '2022-07-02T07:59:07Z', '2022-07-02T09:03:14Z', '2022-07-02T09:08:59Z', '2022-07-02T09:12:06Z', '2022-07-02T09:20:43Z', '2022-07-02T09:23:28Z', '2022-07-02T09:32:13Z', '2022-07-02T09:36:13Z']",0,0,0,0
