,addr,type,total_volumn,ETH,froms,block_time,BSC,Gnosis,Optimism,Arbitrum
95,0x29512e779221bec5745b3f8fb15a7d5347ce815d,ether,3.3e-06,22,2,"['2022-07-02T06:28:29Z', '2022-07-02T07:01:58Z', '2022-07-02T07:01:58Z', '2022-07-02T07:53:15Z', '2022-07-02T07:53:15Z', '2022-07-02T07:59:34Z', '2022-07-02T07:59:34Z', '2022-07-02T09:03:14Z', '2022-07-02T09:03:14Z', '2022-07-02T09:08:59Z', '2022-07-02T09:08:59Z', '2022-07-03T04:13:33Z', '2022-07-03T06:09:57Z', '2022-07-03T06:41:23Z', '2022-07-03T07:35:57Z', '2022-07-03T07:35:57Z', '2022-07-03T08:41:33Z', '2022-07-03T08:41:33Z', '2022-07-03T10:55:19Z', '2022-07-03T10:55:19Z', '2022-07-04T01:08:28Z', '2022-07-04T01:08:48Z']",0,0,0,0
16,0x05a40740b2ef40dabee833322b0e3e0f299af989,ether,3.3e-06,22,2,"['2022-07-02T06:28:29Z', '2022-07-02T07:01:58Z', '2022-07-02T07:01:58Z', '2022-07-02T07:53:15Z', '2022-07-02T07:53:15Z', '2022-07-02T07:59:34Z', '2022-07-02T08:00:33Z', '2022-07-02T09:03:14Z', '2022-07-02T09:03:14Z', '2022-07-02T09:08:59Z', '2022-07-02T09:08:59Z', '2022-07-03T04:13:33Z', '2022-07-03T06:09:57Z', '2022-07-03T06:40:51Z', '2022-07-03T07:35:57Z', '2022-07-03T07:35:57Z', '2022-07-03T08:41:33Z', '2022-07-03T08:41:33Z', '2022-07-03T10:55:19Z', '2022-07-03T10:55:19Z', '2022-07-04T01:06:47Z', '2022-07-04T01:08:28Z']",0,0,0,0
3,0x01f824d27bd96080f1c11e63d8268c8eeb147a5b,ether,3.3e-06,22,2,"['2022-07-02T06:28:29Z', '2022-07-02T07:01:58Z', '2022-07-02T07:01:58Z', '2022-07-02T07:53:15Z', '2022-07-02T07:53:15Z', '2022-07-02T07:59:34Z', '2022-07-02T08:00:33Z', '2022-07-02T09:03:14Z', '2022-07-02T09:03:14Z', '2022-07-02T09:08:59Z', '2022-07-02T09:08:59Z', '2022-07-03T04:13:33Z', '2022-07-03T06:09:57Z', '2022-07-03T06:40:51Z', '2022-07-03T07:35:57Z', '2022-07-03T07:35:57Z', '2022-07-03T08:41:33Z', '2022-07-03T08:41:33Z', '2022-07-03T10:55:19Z', '2022-07-03T10:55:19Z', '2022-07-04T01:08:28Z', '2022-07-04T01:08:48Z']",0,0,0,0
92,0x273143d5e4e4c03cf573c87228371a1c426486b4,ether,3.3e-06,22,2,"['2022-07-02T06:28:29Z', '2022-07-02T07:01:58Z', '2022-07-02T07:01:58Z', '2022-07-02T07:53:15Z', '2022-07-02T07:53:15Z', '2022-07-02T07:59:34Z', '2022-07-02T08:00:33Z', '2022-07-02T09:03:14Z', '2022-07-02T09:03:14Z', '2022-07-02T09:08:59Z', '2022-07-02T09:08:59Z', '2022-07-03T04:13:33Z', '2022-07-03T06:09:57Z', '2022-07-03T06:41:23Z', '2022-07-03T07:35:57Z', '2022-07-03T07:35:57Z', '2022-07-03T08:41:33Z', '2022-07-03T08:41:33Z', '2022-07-03T10:55:19Z', '2022-07-03T10:55:19Z', '2022-07-04T01:06:47Z', '2022-07-04T01:08:28Z']",0,0,0,0
160,0x4489036f00d55ec2d405bd31f2d025afd9548d7d,ether,3.3e-06,22,2,"['2022-07-02T06:28:29Z', '2022-07-02T07:01:58Z', '2022-07-02T07:01:58Z', '2022-07-02T07:53:15Z', '2022-07-02T07:53:15Z', '2022-07-02T07:59:34Z', '2022-07-02T08:00:33Z', '2022-07-02T09:03:14Z', '2022-07-02T09:03:14Z', '2022-07-02T09:08:59Z', '2022-07-02T09:08:59Z', '2022-07-03T04:13:33Z', '2022-07-03T06:09:57Z', '2022-07-03T06:41:23Z', '2022-07-03T07:35:57Z', '2022-07-03T07:35:57Z', '2022-07-03T08:41:33Z', '2022-07-03T08:41:33Z', '2022-07-03T10:55:19Z', '2022-07-03T10:55:19Z', '2022-07-04T01:06:47Z', '2022-07-04T01:08:48Z']",0,0,0,0
614,0xeeac499c044c876b49972a9b0ec805eb174c7035,ether,3.3e-06,22,2,"['2022-07-02T06:39:37Z', '2022-07-02T07:01:58Z', '2022-07-02T07:01:58Z', '2022-07-02T07:53:15Z', '2022-07-02T07:53:21Z', '2022-07-02T07:59:34Z', '2022-07-02T08:00:33Z', '2022-07-02T09:03:14Z', '2022-07-02T09:03:14Z', '2022-07-02T09:08:59Z', '2022-07-02T09:08:59Z', '2022-07-03T06:09:57Z', '2022-07-03T06:09:57Z', '2022-07-03T06:40:51Z', '2022-07-03T07:35:57Z', '2022-07-03T07:35:57Z', '2022-07-03T08:41:33Z', '2022-07-03T08:41:33Z', '2022-07-03T10:55:19Z', '2022-07-03T10:55:19Z', '2022-07-04T01:06:47Z', '2022-07-04T01:08:48Z']",0,0,0,0
458,0xb213018982c7ebd9d87f33bafd43914cf1126256,ether,3.3e-06,22,2,"['2022-07-02T06:39:48Z', '2022-07-02T07:01:58Z', '2022-07-02T07:01:58Z', '2022-07-02T07:53:15Z', '2022-07-02T07:53:15Z', '2022-07-02T07:59:34Z', '2022-07-02T07:59:34Z', '2022-07-02T09:03:14Z', '2022-07-02T09:03:14Z', '2022-07-02T09:08:59Z', '2022-07-02T09:08:59Z', '2022-07-03T06:09:57Z', '2022-07-03T06:09:57Z', '2022-07-03T06:41:23Z', '2022-07-03T07:35:57Z', '2022-07-03T07:35:57Z', '2022-07-03T08:41:33Z', '2022-07-03T08:41:33Z', '2022-07-03T10:55:19Z', '2022-07-03T10:55:19Z', '2022-07-04T01:06:47Z', '2022-07-04T01:06:47Z']",0,0,0,0
22,0x07a191ab978362093b17eb066383fd44b9d79b19,ether,3.3e-06,22,2,"['2022-07-02T06:39:48Z', '2022-07-02T07:01:58Z', '2022-07-02T07:01:58Z', '2022-07-02T07:53:15Z', '2022-07-02T07:53:15Z', '2022-07-02T07:59:34Z', '2022-07-02T08:00:33Z', '2022-07-02T09:03:14Z', '2022-07-02T09:03:14Z', '2022-07-02T09:08:59Z', '2022-07-02T09:08:59Z', '2022-07-03T03:28:36Z', '2022-07-03T06:09:57Z', '2022-07-03T06:40:51Z', '2022-07-03T07:35:57Z', '2022-07-03T07:35:57Z', '2022-07-03T08:41:33Z', '2022-07-03T08:41:33Z', '2022-07-03T10:55:19Z', '2022-07-03T10:55:19Z', '2022-07-04T01:06:47Z', '2022-07-04T01:08:28Z']",0,0,0,0
244,0x6657836f00147af698c23f3508f6c2cdc7a74bd5,ether,3.3e-06,22,2,"['2022-07-02T06:39:49Z', '2022-07-02T07:01:58Z', '2022-07-02T07:01:58Z', '2022-07-02T07:53:15Z', '2022-07-02T07:53:15Z', '2022-07-02T08:00:33Z', '2022-07-02T08:00:33Z', '2022-07-02T09:03:14Z', '2022-07-02T09:03:14Z', '2022-07-02T09:08:59Z', '2022-07-02T09:08:59Z', '2022-07-03T06:09:57Z', '2022-07-03T06:09:57Z', '2022-07-03T06:41:23Z', '2022-07-03T07:35:57Z', '2022-07-03T07:35:57Z', '2022-07-03T08:41:33Z', '2022-07-03T08:41:33Z', '2022-07-03T10:55:19Z', '2022-07-03T10:55:19Z', '2022-07-04T01:06:47Z', '2022-07-04T01:06:47Z']",0,0,0,0
367,0x9261ec70dd86db46bb7ecd24391400a1b3c1aa7a,ether,3.3e-06,22,2,"['2022-07-02T06:39:49Z', '2022-07-02T07:01:58Z', '2022-07-02T07:01:58Z', '2022-07-02T07:53:15Z', '2022-07-02T07:53:15Z', '2022-07-02T08:00:33Z', '2022-07-02T08:00:33Z', '2022-07-02T09:03:14Z', '2022-07-02T09:03:14Z', '2022-07-02T09:08:59Z', '2022-07-02T09:08:59Z', '2022-07-03T06:09:57Z', '2022-07-03T06:09:57Z', '2022-07-03T06:41:23Z', '2022-07-03T07:35:57Z', '2022-07-03T07:35:57Z', '2022-07-03T08:41:33Z', '2022-07-03T08:41:33Z', '2022-07-03T10:55:19Z', '2022-07-03T10:55:19Z', '2022-07-04T01:06:47Z', '2022-07-04T01:06:47Z']",0,0,0,0
