,addr,type,total_volumn,ETH,froms,block_time,BSC,Gnosis,Optimism,Arbitrum
199,0x55497147f00a78aa4d896a2ae1e219000fad77dc,ether,3.3e-06,21,2,"['2022-07-02T06:28:29Z', '2022-07-02T07:01:58Z', '2022-07-02T07:01:58Z', '2022-07-02T07:53:15Z', '2022-07-02T07:53:15Z', '2022-07-02T07:59:34Z', '2022-07-02T07:59:34Z', '2022-07-02T09:03:14Z', '2022-07-02T09:03:14Z', '2022-07-02T09:08:59Z', '2022-07-02T09:08:59Z', '2022-07-03T04:13:33Z', '2022-07-03T06:09:57Z', '2022-07-03T07:35:57Z', '2022-07-03T07:35:57Z', '2022-07-03T08:41:33Z', '2022-07-03T08:41:33Z', '2022-07-03T10:55:19Z', '2022-07-03T10:55:19Z', '2022-07-04T01:06:47Z', '2022-07-04T01:06:47Z']",0,0,0,0
246,0x66e940edc253218632225d72bbfc512d0d61d737,ether,3.3e-06,21,2,"['2022-07-02T06:28:29Z', '2022-07-02T07:01:58Z', '2022-07-02T07:01:58Z', '2022-07-02T07:53:15Z', '2022-07-02T07:53:15Z', '2022-07-02T07:59:34Z', '2022-07-02T08:00:33Z', '2022-07-02T09:03:14Z', '2022-07-02T09:03:14Z', '2022-07-02T09:08:59Z', '2022-07-02T09:08:59Z', '2022-07-03T04:13:33Z', '2022-07-03T06:09:57Z', '2022-07-03T07:35:57Z', '2022-07-03T07:35:57Z', '2022-07-03T08:41:33Z', '2022-07-03T08:41:33Z', '2022-07-03T10:55:19Z', '2022-07-03T10:55:19Z', '2022-07-04T01:06:47Z', '2022-07-04T01:08:28Z']",0,0,0,0
105,0x2d82397525f495465d215c167b4fe0447504be01,ether,3.3e-06,21,2,"['2022-07-02T06:39:37Z', '2022-07-02T07:01:58Z', '2022-07-02T07:01:58Z', '2022-07-02T07:53:15Z', '2022-07-02T07:53:15Z', '2022-07-02T08:00:33Z', '2022-07-02T08:00:33Z', '2022-07-02T09:03:14Z', '2022-07-02T09:03:14Z', '2022-07-02T09:08:59Z', '2022-07-02T09:08:59Z', '2022-07-03T06:09:57Z', '2022-07-03T06:09:57Z', '2022-07-03T07:35:57Z', '2022-07-03T07:35:57Z', '2022-07-03T08:41:33Z', '2022-07-03T08:41:33Z', '2022-07-03T10:55:19Z', '2022-07-03T10:55:19Z', '2022-07-04T01:06:47Z', '2022-07-04T01:08:48Z']",0,0,0,0
39,0x0edc2ede19f6a1828b69341b929c32aa0ab64627,ether,3.3e-06,21,2,"['2022-07-02T06:39:49Z', '2022-07-02T07:01:58Z', '2022-07-02T07:01:58Z', '2022-07-02T07:53:15Z', '2022-07-02T07:53:15Z', '2022-07-02T08:00:33Z', '2022-07-02T08:00:33Z', '2022-07-02T09:03:14Z', '2022-07-02T09:03:14Z', '2022-07-02T09:08:59Z', '2022-07-02T09:08:59Z', '2022-07-03T06:09:57Z', '2022-07-03T06:09:57Z', '2022-07-03T07:35:57Z', '2022-07-03T07:35:57Z', '2022-07-03T08:41:33Z', '2022-07-03T08:41:33Z', '2022-07-03T10:55:19Z', '2022-07-03T10:55:19Z', '2022-07-04T01:06:47Z', '2022-07-04T01:08:28Z']",0,0,0,0
168,0x484253255e957a3bafe44bd58bc08d7eda97c8ee,ether,3.3e-06,21,2,"['2022-07-02T06:39:49Z', '2022-07-02T07:01:58Z', '2022-07-02T07:01:58Z', '2022-07-02T07:53:15Z', '2022-07-02T07:53:21Z', '2022-07-02T08:00:33Z', '2022-07-02T08:00:33Z', '2022-07-02T09:03:14Z', '2022-07-02T09:03:14Z', '2022-07-02T09:08:59Z', '2022-07-02T09:08:59Z', '2022-07-03T06:09:57Z', '2022-07-03T06:09:57Z', '2022-07-03T07:35:57Z', '2022-07-03T07:35:57Z', '2022-07-03T08:41:33Z', '2022-07-03T08:41:33Z', '2022-07-03T10:55:19Z', '2022-07-03T10:55:19Z', '2022-07-04T01:06:47Z', '2022-07-04T01:06:47Z']",0,0,0,0
566,0xd879feafd6428cbb3213078739ea22321ebaab0c,ether,3.3e-06,21,2,"['2022-07-02T06:39:49Z', '2022-07-02T07:01:58Z', '2022-07-02T07:01:58Z', '2022-07-02T07:53:21Z', '2022-07-02T07:53:21Z', '2022-07-02T08:00:33Z', '2022-07-02T08:00:33Z', '2022-07-02T09:03:14Z', '2022-07-02T09:03:14Z', '2022-07-02T09:08:59Z', '2022-07-02T09:08:59Z', '2022-07-03T06:09:57Z', '2022-07-03T06:09:57Z', '2022-07-03T07:35:57Z', '2022-07-03T07:35:57Z', '2022-07-03T08:41:33Z', '2022-07-03T08:41:33Z', '2022-07-03T10:55:19Z', '2022-07-03T10:55:19Z', '2022-07-04T01:06:47Z', '2022-07-04T01:06:47Z']",0,0,0,0
30,0x0a01a346d55010d5782dd11db813a4baf5284ba2,ether,3.3e-06,21,2,"['2022-07-02T06:40:13Z', '2022-07-02T07:01:58Z', '2022-07-02T07:01:58Z', '2022-07-02T07:53:21Z', '2022-07-02T07:53:21Z', '2022-07-02T08:00:33Z', '2022-07-02T08:00:33Z', '2022-07-02T09:03:14Z', '2022-07-02T09:03:35Z', '2022-07-02T09:08:59Z', '2022-07-02T09:08:59Z', '2022-07-03T06:09:57Z', '2022-07-03T06:09:57Z', '2022-07-03T07:35:57Z', '2022-07-03T07:35:57Z', '2022-07-03T08:41:33Z', '2022-07-03T08:41:33Z', '2022-07-03T10:55:19Z', '2022-07-03T10:55:19Z', '2022-07-04T01:06:47Z', '2022-07-04T01:06:47Z']",0,0,0,0
169,0x487b8b37c9d18d6e96524cc0b2ee196ac481f48d,ether,3.3e-06,21,2,"['2022-07-02T06:42:48Z', '2022-07-02T07:02:01Z', '2022-07-02T07:02:01Z', '2022-07-02T07:53:48Z', '2022-07-02T07:53:48Z', '2022-07-02T08:13:27Z', '2022-07-02T08:53:24Z', '2022-07-02T09:03:42Z', '2022-07-02T09:03:42Z', '2022-07-02T09:09:05Z', '2022-07-02T09:09:05Z', '2022-07-03T06:09:57Z', '2022-07-03T06:09:57Z', '2022-07-03T07:35:57Z', '2022-07-03T07:35:57Z', '2022-07-03T08:41:33Z', '2022-07-03T08:41:33Z', '2022-07-03T10:55:19Z', '2022-07-03T10:55:19Z', '2022-07-04T01:08:28Z', '2022-07-04T01:08:48Z']",0,0,0,0
447,0xae4be8e3544e4c74737ea36370473b903f86895f,ether,3.3e-06,21,2,"['2022-07-02T06:42:48Z', '2022-07-02T07:02:01Z', '2022-07-02T07:19:22Z', '2022-07-02T07:53:48Z', '2022-07-02T07:53:48Z', '2022-07-02T08:13:27Z', '2022-07-02T08:53:24Z', '2022-07-02T09:03:42Z', '2022-07-02T09:03:42Z', '2022-07-02T09:09:05Z', '2022-07-02T09:09:05Z', '2022-07-03T06:09:57Z', '2022-07-03T06:09:57Z', '2022-07-03T07:35:57Z', '2022-07-03T07:35:57Z', '2022-07-03T08:41:33Z', '2022-07-03T08:41:33Z', '2022-07-03T10:55:19Z', '2022-07-03T10:55:19Z', '2022-07-04T01:06:47Z', '2022-07-04T01:06:47Z']",0,0,0,0
34,0x0c290b257f33cba7b3688b34008bd4a10efd9862,ether,3.3e-06,21,2,"['2022-07-02T06:44:10Z', '2022-07-02T07:02:01Z', '2022-07-02T07:19:22Z', '2022-07-02T07:53:48Z', '2022-07-02T07:53:48Z', '2022-07-02T08:13:27Z', '2022-07-02T08:13:27Z', '2022-07-02T09:03:42Z', '2022-07-02T09:03:42Z', '2022-07-02T09:09:05Z', '2022-07-02T09:09:05Z', '2022-07-03T06:09:57Z', '2022-07-03T06:09:57Z', '2022-07-03T06:40:51Z', '2022-07-03T07:35:57Z', '2022-07-03T07:58:24Z', '2022-07-03T08:41:33Z', '2022-07-03T10:55:19Z', '2022-07-03T10:55:19Z', '2022-07-04T01:06:47Z', '2022-07-04T01:08:28Z']",0,0,0,0
481,0xba2caaee2c1d6e7a91d8d782be44c161fb94ba21,ether,3.3e-06,21,2,"['2022-07-02T06:44:10Z', '2022-07-02T07:19:22Z', '2022-07-02T07:19:22Z', '2022-07-02T07:53:48Z', '2022-07-02T07:53:48Z', '2022-07-02T08:13:27Z', '2022-07-02T08:13:27Z', '2022-07-02T09:03:42Z', '2022-07-02T09:03:42Z', '2022-07-02T09:09:05Z', '2022-07-02T09:09:05Z', '2022-07-03T06:09:57Z', '2022-07-03T06:09:57Z', '2022-07-03T06:40:51Z', '2022-07-03T06:41:23Z', '2022-07-03T07:58:24Z', '2022-07-03T07:58:24Z', '2022-07-03T10:55:19Z', '2022-07-03T10:55:19Z', '2022-07-04T01:06:47Z', '2022-07-04T01:08:28Z']",0,0,0,0
323,0x812532a0c6ec8a493adc69ca5a2960416c99cd27,ether,3.3e-06,21,2,"['2022-07-02T06:44:10Z', '2022-07-02T07:19:22Z', '2022-07-02T07:19:22Z', '2022-07-02T07:53:48Z', '2022-07-02T07:53:48Z', '2022-07-02T08:13:27Z', '2022-07-02T08:13:27Z', '2022-07-02T09:03:42Z', '2022-07-02T09:03:42Z', '2022-07-02T09:09:05Z', '2022-07-02T09:09:05Z', '2022-07-03T06:09:57Z', '2022-07-03T06:09:57Z', '2022-07-03T06:41:23Z', '2022-07-03T07:35:57Z', '2022-07-03T07:58:24Z', '2022-07-03T08:41:33Z', '2022-07-03T10:55:19Z', '2022-07-03T10:55:19Z', '2022-07-04T01:06:47Z', '2022-07-04T01:08:28Z']",0,0,0,0
550,0xd278bc0a2ff2c44a48d78b734c7fbab04ca14963,ether,3.3e-06,21,2,"['2022-07-02T06:44:10Z', '2022-07-02T07:19:22Z', '2022-07-02T07:19:22Z', '2022-07-02T07:53:48Z', '2022-07-02T07:53:48Z', '2022-07-02T08:53:24Z', '2022-07-02T08:53:24Z', '2022-07-02T09:03:42Z', '2022-07-02T09:03:42Z', '2022-07-02T09:09:05Z', '2022-07-02T09:09:05Z', '2022-07-03T06:09:57Z', '2022-07-03T06:09:57Z', '2022-07-03T06:41:23Z', '2022-07-03T07:35:57Z', '2022-07-03T07:58:24Z', '2022-07-03T08:41:33Z', '2022-07-03T10:55:19Z', '2022-07-03T11:14:42Z', '2022-07-04T01:06:47Z', '2022-07-04T01:06:47Z']",0,0,0,0
444,0xadd5a28f64c391bd518eb01d81173e8e3b3c8204,ether,3.3e-06,21,2,"['2022-07-02T06:44:10Z', '2022-07-02T07:19:22Z', '2022-07-02T07:19:22Z', '2022-07-02T07:53:48Z', '2022-07-02T07:54:29Z', '2022-07-02T08:53:24Z', '2022-07-02T08:53:24Z', '2022-07-02T09:03:42Z', '2022-07-02T09:03:42Z', '2022-07-02T09:09:05Z', '2022-07-02T09:09:18Z', '2022-07-03T06:09:57Z', '2022-07-03T06:09:57Z', '2022-07-03T06:40:51Z', '2022-07-03T07:35:57Z', '2022-07-03T07:58:24Z', '2022-07-03T08:41:33Z', '2022-07-03T10:55:19Z', '2022-07-03T10:55:19Z', '2022-07-04T01:06:47Z', '2022-07-04T01:08:48Z']",0,0,0,0
209,0x5918716acd78167a32a9d8456b695f7110f93f8e,ether,3.3e-06,21,2,"['2022-07-02T06:44:56Z', '2022-07-02T07:19:22Z', '2022-07-02T07:19:22Z', '2022-07-02T07:53:48Z', '2022-07-02T07:53:48Z', '2022-07-02T08:13:27Z', '2022-07-02T08:53:24Z', '2022-07-02T09:03:42Z', '2022-07-02T09:03:42Z', '2022-07-02T09:09:05Z', '2022-07-02T09:09:18Z', '2022-07-03T06:09:57Z', '2022-07-03T06:09:57Z', '2022-07-03T06:40:51Z', '2022-07-03T06:40:51Z', '2022-07-03T07:58:24Z', '2022-07-03T07:58:24Z', '2022-07-03T10:55:19Z', '2022-07-03T10:55:19Z', '2022-07-04T01:06:47Z', '2022-07-04T01:08:48Z']",0,0,0,0
214,0x59bfa198e58e37823a2e2b9eb4315960f71d2e59,ether,3.3e-06,21,2,"['2022-07-02T06:44:56Z', '2022-07-02T07:19:22Z', '2022-07-02T07:19:22Z', '2022-07-02T07:53:48Z', '2022-07-02T07:53:48Z', '2022-07-02T08:13:27Z', '2022-07-02T08:53:24Z', '2022-07-02T09:03:42Z', '2022-07-02T09:03:42Z', '2022-07-02T09:09:18Z', '2022-07-02T09:09:18Z', '2022-07-03T06:09:57Z', '2022-07-03T06:09:57Z', '2022-07-03T07:35:57Z', '2022-07-03T07:35:57Z', '2022-07-03T08:41:33Z', '2022-07-03T08:41:33Z', '2022-07-03T10:55:19Z', '2022-07-03T10:55:19Z', '2022-07-04T01:06:47Z', '2022-07-04T01:06:47Z']",0,0,0,0
